Integration_Spacing_m,Number_of_Pairs,Median_Absolute_Error_Mean_Skip_m,Maximum_Absolute_Error_Mean_Skip_m,Median_Symmetric_Rel_Error_Mean_Skip,Maximum_Symmetric_Rel_Error_Mean_Skip,Median_Absolute_Error_Mean_Overlap_m,Maximum_Absolute_Error_Mean_Overlap_m,Median_Symmetric_Rel_Error_Mean_Overlap,Maximum_Symmetric_Rel_Error_Mean_Overlap,Median_Absolute_Error_Mean_Absolute_Spacing_m,Maximum_Absolute_Error_Mean_Absolute_Spacing_m,Median_Symmetric_Rel_Error_Mean_Absolute_Spacing,Maximum_Symmetric_Rel_Error_Mean_Absolute_Spacing
0.025,378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,378,1.679630193089643e-06,1.8536228479987954e-05,6.101803605554335e-05,0.0008165886466399946,1.6287294036000655e-06,1.8536228479991423e-05,5.806273799800059e-05,0.0008187551069660288,3.3291143345971774e-06,3.707245695998285e-05,5.943687389430414e-05,0.0008176704417683031
0.1,378,7.850817448350547e-06,9.217295424788705e-05,0.00029373859950599117,0.004053980197720652,7.645366232789455e-06,9.217295424790092e-05,0.0002924486850884054,0.0040647181955576735,1.5473296819053933e-05,0.00018434590849578797,0.00029256285383856274,0.004059342095464076
0.2,378,3.457558488361573e-05,0.00037750749591236935,0.0012504771407604329,0.016500119222353945,3.4623972522837554e-05,0.00037750749591240057,0.0012577761801958697,0.01654355073799558,6.979197793297032e-05,0.0007550149918247734,0.001259984572387525,0.016521806437695245
0.4,378,7.891795500952065e-05,0.00041049317167695526,0.0027714097461669037,0.0226211595440871,4.9739426838252276e-05,0.000560833557388625,0.0017805269013315894,0.02441093304052217,9.338474449756967e-05,0.0009713267290655803,0.0017685863687011915,0.019462111549091523
