Pair_ID,Trajectory_1,Trajectory_2,Common_Length_m,K_Skip,K_Overlap,K_Total,Signed_Mean_Unit_Spacing_Error,Skip_Overlap_Difference,Identity_Error,Trajectory_1_E_Folding_m,Trajectory_1_Integral_Scale_m,Trajectory_1_Skewness,Trajectory_1_Excess_Kurtosis,Trajectory_2_E_Folding_m,Trajectory_2_Integral_Scale_m,Trajectory_2_Skewness,Trajectory_2_Excess_Kurtosis,Absolute_Integral_Scale_Difference_m,Absolute_E_Folding_Difference_m,Absolute_Skewness_Difference,Absolute_Excess_Kurtosis_Difference
PAIR_001,C01_P1,C01_P3,274.6,0.7199824173609629,0.7188016692190937,1.4387840865800567,0.001180748141869188,0.0011807481418691923,2.220446049250313e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,28.4,23.4520666227128,-0.4728753972883918,-0.4368221453758623,6.011100706882626,6.800000000000004,1.8765446960699737,1.3623696014072522
PAIR_002,C01_P1,C02_P1,274.6,0.5414119020750474,0.5412143595535981,1.0826262616286455,0.00019754252144920395,0.00019754252144932316,0.0,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,21.6,17.8504915637117,-0.9132270563780546,0.8671489327109643,11.612675765883726,13.600000000000001,2.316896355159636,0.05839852332042572
PAIR_003,C01_P1,C02_P3,274.6,0.3441313677294266,0.34358643747812145,0.687717805207548,0.000544930251305144,0.0005449302513051424,1.1102230246251565e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,38.0,31.32674433879733,-0.4338084142058662,-1.4553456342037197,1.8635770092019044,2.799999999999997,1.837477712987448,2.3808930902351095
PAIR_004,C01_P1,C03_P1,274.6,0.42107197996205253,0.42027832070311494,0.8413503006651674,0.00079365925893758,0.0007936592589375957,1.1102230246251565e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,32.2,37.87927055239695,0.4659549849571102,-1.0019019358159027,8.416103222801528,3.0,0.9377143138244716,1.9274493918472926
PAIR_005,C01_P1,C03_P3,274.6,0.7607620235370831,0.7590397581428494,1.519801781679932,0.0017222653942335219,0.0017222653942337018,4.440892098500626e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,35.0,26.95959783244563,-0.0522551847368007,-0.7661167299209501,2.503569497149794,0.20000000000000284,1.4559244835183824,1.69166418595234
PAIR_006,C01_P1,C04_P1,274.6,0.7657498465466046,0.7645598588796942,1.5303097054262986,0.001189987666910443,0.0011899876669103637,2.220446049250313e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,38.8,31.7690014004025,0.5429609892428743,-1.2651321476000783,2.3058340708070766,3.5999999999999943,0.8607083095387075,2.190679603631468
PAIR_007,C01_P1,C04_P3,274.6,0.5791934625565667,0.5766434870959266,1.1558369496524932,0.002549975460639997,0.0025499754606400638,2.220446049250313e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,13.0,16.52683851621324,-2.865758424412882,9.458655473657435,12.936328813382186,22.200000000000003,4.269427723194464,8.533108017626045
PAIR_008,C01_P1,C05_P1,274.6,0.7661205294410152,0.7650833934471233,1.5312039228881382,0.001037135993891765,0.00103713599389188,2.220446049250313e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,42.6,34.68691617598624,-0.6228101481585432,-0.775297699296114,5.223748846390816,7.399999999999999,2.026479446940125,1.700845155327504
PAIR_009,C01_P1,C05_P3,274.6,0.5484505981441498,0.5479131953669498,1.0963637935110995,0.0005374027771998238,0.0005374027771999357,2.220446049250313e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,25.200000000000003,27.68948238588642,0.5035448259256654,-0.2312441373528706,1.7736849437090036,10.0,0.9001244728559163,1.1567915933842605
PAIR_010,C01_P1,C06_P1,274.6,0.5156818497719512,0.5148148565565356,1.0304967063284869,0.0008669932154155896,0.0008669932154156124,2.220446049250313e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,13.2,11.262902816490314,-0.635977440877002,0.5787995669611563,18.20026451310511,22.000000000000004,2.0396467396585836,0.3467478890702337
PAIR_011,C01_P1,C06_P3,274.6,0.6156024219732441,0.612859890742519,1.228462312715763,0.0027425312307251416,0.002742531230725098,0.0,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,9.6,10.635109379037832,-3.4914778328284672,12.691193603637164,18.828057950557593,25.6,4.895147131610049,11.765646147605773
PAIR_012,C01_P1,C07_P1,274.6,0.6938670982610551,0.6920702703491978,1.385937368610253,0.0017968279118572926,0.0017968279118573127,2.220446049250313e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,49.8,37.58662227262414,-0.2600865881882627,-0.8753203793931483,8.123454943028715,14.599999999999994,1.6637558869698443,1.8008678354245382
PAIR_013,C01_P1,C07_P3,274.6,0.4913038427298624,0.48990933942902215,0.9812131821588844,0.0013945033008402972,0.001394503300840233,1.1102230246251565e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,15.6,12.815269433811183,-2.0666673939712457,4.039239853097321,16.64789789578424,19.6,3.470336692752827,3.113692397065931
PAIR_014,C01_P1,C08_P1,274.6,0.6705154074045855,0.6692547566359943,1.3397701640405797,0.0012606507685911632,0.001260650768591165,2.220446049250313e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,55.0,43.64177917237282,0.4474869847156655,-1.5132456321012109,14.178611842777396,19.799999999999997,0.9561823140659163,2.4387930881326008
PAIR_015,C01_P1,C08_P3,274.6,0.5288619947157001,0.5277277207498478,1.0565897154655477,0.0011342739658523947,0.001134273965852306,2.220446049250313e-16,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,58.0,45.85047296627704,-0.4222655496919911,-1.1309064867678158,16.387305636681614,22.799999999999997,1.825934848473573,2.0564539427992057
PAIR_016,C01_P1,C09_P1,274.6,0.6114929491159731,0.6105637005372216,1.2220566496531946,0.0009292485787515079,0.0009292485787514293,0.0,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,15.4,12.550907870531372,0.156160652420342,-0.6233552161392946,16.912259459064053,19.800000000000004,1.2475086463612397,1.5489026721706844
PAIR_017,C01_P1,C09_P3,274.6,0.7045111579184827,0.7036117003573589,1.4081228582758416,0.0008994575611238895,0.000899457561123862,0.0,35.2,29.463167329595425,1.4036692987815818,0.92554745603139,47.400000000000006,41.47733192433871,-0.3275517866135125,-0.5413467672186711,12.014164594743288,12.200000000000003,1.7312210853950942,1.466894223250061
