Number_of_Passes_M,Common_Internal_Coefficient,Common_Boundary_Coefficient,Common_Total_Coefficient,Empirical_Internal_Coefficient,Empirical_Boundary_Coefficient,Empirical_Total_Coefficient,Relative_Total_Coefficient_Difference,Independent_SD_Slope_per_eta,Perfectly_Shared_SD_Slope_per_eta,Common_eta_max_per_unit_q,Empirical_eta_max_per_unit_q,Common_Rmax_over_Wq,Empirical_Rmax_over_Wq
20,1.0722315440453736,0.0399070030980022,1.1121385471433758,1.0664021560989945,0.03985241151174433,1.1062545676107387,-0.005290689319015689,0.044896334257778336,0.19569858396507891,0.899168545653405,0.9039510699239646,0.899168545653405,0.9039510699239646
21,1.0749188411482442,0.03800666961714495,1.1129255107653893,1.0690748432070118,0.03795467763023269,1.1070295208372445,-0.005297739939566971,0.04386920670139016,0.1961890566065954,0.898532732269092,0.9033182775864024,0.898532732269092,0.9033182775864024
22,1.0773618385144903,0.03627909372545654,1.1136409322399468,1.0715045587597551,0.03622946501067666,1.1077340237704318,-0.005304140947508028,0.04290926193376294,0.19663494082615587,0.897955499883277,0.9027437801325864,0.897955499883277,0.9027437801325864
23,1.0795924013271496,0.034701741824349736,1.1142941431514994,1.0737229946992164,0.034654270879777675,1.108377265578994,-0.005309978167677495,0.042009506746221274,0.19704205250488496,0.8974291089530029,0.9022198768012623,0.8974291089530029,0.9022198768012623
24,1.0816370839054208,0.03325583591500183,1.1148929198204227,1.0757565609770559,0.033210342926453605,1.1089669039035095,-0.005315322944079446,0.0411639227213766,0.19741523821038665,0.8969471257930953,0.9017401659869638,0.8969471257930953,0.9017401659869638
25,1.0835181918774301,0.03192560247840176,1.115443794355832,1.077627441952668,0.03188192920939546,1.1095093711620634,-0.005320235070379054,0.04036729887154975,0.19775856905944816,0.8965041583090247,0.9012992823599436,0.8965041583090247,0.9012992823599436
26,1.0852545992362082,0.03069769469077092,1.115952293926979,1.0793544090070795,0.03065570116288025,1.1100101101699598,-0.005324765036423761,0.03961509796863946,0.1980754898431973,0.8960956534092073,0.9008926953348961,0.8960956534092073,0.9008926953348961
27,1.0868623838276692,0.029560743035557183,1.1164231268632263,1.0809534525759787,0.029520304823514316,1.1104737573994932,-0.005328955770066205,0.038903348866292924,0.19836893501333536,0.8957177399304365,0.9005165528105765,0.8957177399304365,0.9005165528105765
28,1.0883553266625974,0.02850500221285871,1.1168603288754562,1.0824382787470996,0.028466008222674522,1.110904286969774,-0.005332844001791275,0.03822855906730835,0.19864141981417785,0.8953671055779012,0.9001675587441571,0.8953671055779012,0.9001675587441571
29,1.0897453079227029,0.02752207110207048,1.1172673790247734,1.0838207031133156,0.027484421732237467,1.111305124845553,-0.005336461344127509,0.03758764320138595,0.19889511255978984,0.895040899585619,0.8998428763108404,0.895040899585619,0.8998428763108404
