Marginal_Type,Number_of_Dependent_Combinations,Minimum_Aligned_K,Q05_Aligned_K,Q25_Aligned_K,Mean_Aligned_K,Median_Aligned_K,Q75_Aligned_K,Q95_Aligned_K,Maximum_Aligned_K,SD_Aligned_K_Descriptive,Phase_Design_K,Mean_minus_Phase_K,Mean_Relative_Difference_from_Phase,Median_minus_Phase_K,Median_Relative_Difference_from_Phase
Original_Centered,378,0.2595659050062621,0.6626310596884271,0.9627404610157911,1.1115685502457022,1.1294606613751026,1.2771535926384727,1.5294283586750888,1.8175951094818452,0.2676397411265175,1.1222795909471557,-0.010711040701453456,-0.009544003818526004,0.007181070427946912,0.006398646545720748
Common_Marginal,378,0.2499550749735836,0.6832835162415238,0.9747420957429502,1.1150911207228837,1.125265376018282,1.3037110402459804,1.495882764526508,1.5920872419400274,0.24836075296958665,1.128416958486,-0.013325837763116244,-0.011809320715097684,-0.0031515824677179616,-0.0027929237007802933
