Number_of_Passes_M,Empirical_C_Point,Empirical_C_Bootstrap_Mean,Empirical_C_Bootstrap_SD,Empirical_C_CI95_Lower,Empirical_C_CI95_Upper,Tolerance_Factor_Point,Tolerance_Factor_CI95_Lower,Tolerance_Factor_CI95_Upper,Common_Marginal_C,Common_Marginal_Tolerance_Factor
2,0.9597884078011245,0.959282533952061,0.013160541476968475,0.9312828942336241,0.9821711160143166,1.0418963095115936,1.0181525232177773,1.0737875744462437,0.963402422583,1.037987840344928
3,1.0140351336565372,1.013404671309085,0.01248629388272144,0.986624024310483,1.0346553971194186,0.9861591248757551,0.9665053725017377,1.0135573180670756,1.018489876124,0.9818457929161105
5,1.0574325143408674,1.0567023811947043,0.011982613060906045,1.0305097394057894,1.0766791849775779,0.9456868277058164,0.9287817707936012,0.9703935457997996,1.0625598389568,0.9411234674385773
10,1.089980549854115,1.0891756636089187,0.01162841655209161,1.0634732397389406,1.1082547619215941,0.9174475637513364,0.9023196059349237,0.9403151509959646,1.0956123110814,0.9127316203785371
20,1.1062545676107387,1.1054123048160258,0.011459563673794812,1.0799960394474954,1.1241886937539793,0.9039510699239646,0.8895303836062141,0.9259293214782658,1.1121385471437,0.8991685456531429
50,1.116018978264713,1.1151542895402902,0.011361033250242838,1.0899781586332344,1.1336990779170881,0.8960421099244121,0.8820682837965393,0.9174495764711272,1.1220542887810798,0.8912224747042579
100,1.1192737818160376,1.1184016177817115,0.011328665506772024,1.0932638164983186,1.1368604615898217,0.8934364551785406,0.8796154266848085,0.9146923047412397,1.12535953599354,0.8886049018255624
