Marginal_Type,Trajectory_ID,Configuration,Direction,B_Integrated,Excursion_Length_m,Excursion_Length_Fraction,Number_of_Clusters,Longest_Cluster_Length_m,Largest_Cluster_Area_Factor_m
Original_Centered,C01_P1,C01,Positive,0.3680098541192709,82.35625002182306,0.30344970531253884,5,70.57533729063599,99.49572346534814
Original_Centered,C01_P1,C01,Negative,0.36887349190849467,189.04374997817698,0.6965502946874611,5,150.25937046891573,96.82765188447846
Original_Centered,C01_P3,C01,Positive,0.3934169219511535,140.8878359026053,0.519115091756099,4,90.23831970894486,85.51997315869227
Original_Centered,C01_P3,C01,Negative,0.3930813819433294,130.5121640973947,0.48088490824390084,4,61.96793673672523,89.84442145097208
Original_Centered,C02_P1,C02,Positive,0.3715560484549091,162.43280246389799,0.5984996406186366,11,85.50718593405264,48.008929403192106
Original_Centered,C02_P1,C02,Negative,0.37224240097377626,108.96719753610202,0.4015003593813633,11,87.61097096862744,98.68116755166609
Original_Centered,C02_P3,C02,Positive,0.4611100781469725,156.95436482621733,0.5783137981806091,2,96.86158048305322,88.34536834324389
Original_Centered,C02_P3,C02,Negative,0.4614516523995999,114.44563517378269,0.42168620181939087,1,114.44563517378269,125.23797846125143
Original_Centered,C03_P1,C03,Positive,0.4381518412960399,122.7182865900422,0.4521675998159255,1,122.7182865900422,118.91440972774525
Original_Centered,C03_P1,C03,Negative,0.4381543695267243,148.6817134099578,0.5478324001840744,1,148.6817134099578,118.915095889553
Original_Centered,C03_P3,C03,Positive,0.41562117535262777,140.04280485769445,0.5160014917380046,16,92.21110479424888,94.88931940576758
Original_Centered,C03_P3,C03,Negative,0.41479212759666095,131.35719514230556,0.48399850826199536,17,55.95863730566302,71.55477404556181
Original_Centered,C04_P1,C04,Positive,0.4490685282569987,109.99543225727393,0.4052889913679953,7,106.44049507846641,121.71095615971095
Original_Centered,C04_P1,C04,Negative,0.4486747529294451,161.4045677427261,0.5947110086320048,8,94.45292391284194,67.02823525914184
Original_Centered,C04_P3,C04,Positive,0.30109075658621015,166.35950347055976,0.6129679567817234,23,93.29600930157227,64.34495948090874
Original_Centered,C04_P3,C04,Negative,0.2991235864992709,105.04049652944023,0.38703204321827644,24,55.02958240785733,71.27048531470427
Original_Centered,C05_P1,C05,Positive,0.4161410918934811,181.25334821687022,0.6678457929877311,12,77.71967504541846,65.48289999050441
Original_Centered,C05_P1,C05,Negative,0.4159457659847667,90.14665178312977,0.33215420701226883,12,84.52320827490718,112.50129556187953
Original_Centered,C05_P3,C05,Positive,0.4080992564256822,118.56696096315663,0.43687163214132874,30,64.67088809311596,86.0922769068531
Original_Centered,C05_P3,C05,Negative,0.40844896919299106,152.8330390368434,0.5631283678586713,30,31.819822427840734,36.97107736265591
Original_Centered,C06_P1,C06,Positive,0.39047814741745424,143.82539553039697,0.5299388191982202,10,65.70372312149404,71.54098009651011
Original_Centered,C06_P1,C06,Negative,0.39033642295685983,127.57460446960303,0.4700611808017797,10,56.6940706525759,50.81738489843979
Original_Centered,C06_P3,C06,Positive,0.2582723543268382,187.25715330984113,0.689967403499783,19,105.53991311295982,59.85777731578646
Original_Centered,C06_P3,C06,Negative,0.2560733745825333,84.14284669015888,0.3100325965002169,20,41.2709734110916,50.039735274236065
Original_Centered,C07_P1,C07,Positive,0.41582870720495785,117.77141312438278,0.43394035786434326,8,99.02464856141555,109.12072211173027
Original_Centered,C07_P1,C07,Negative,0.41543327718229356,153.62858687561723,0.5660596421356566,8,83.3608519122144,88.9389798958801
Original_Centered,C07_P3,C07,Positive,0.3317814751992574,179.86506825048133,0.6627305388742863,28,67.45041792961666,46.449808332179536
Original_Centered,C07_P3,C07,Negative,0.33100375823294054,91.53493174951868,0.3372694611257136,28,30.308043939371885,69.38208740576032
Original_Centered,C08_P1,C08,Positive,0.4633214865546197,106.73354006627699,0.3932702286893035,2,106.64672943540376,125.74542499886965
Original_Centered,C08_P1,C08,Negative,0.46290153500494985,164.66645993372302,0.6067297713106964,3,164.25674512097984,125.63097651377679
Original_Centered,C08_P3,C08,Positive,0.42701423196557486,162.73561395502162,0.5996153793479057,13,138.59866787044243,112.36957816450409
Original_Centered,C08_P3,C08,Negative,0.42678109503729966,108.66438604497839,0.40038462065209424,13,101.01458887795056,115.03726882389483
Original_Centered,C09_P1,C09,Positive,0.40374350517481716,127.37838849288312,0.4693382037320674,17,45.36176944326752,72.5397631426808
Original_Centered,C09_P1,C09,Negative,0.40340115158803375,144.0216115071169,0.5306617962679324,17,38.94427404149347,40.41659887359281
Original_Centered,C09_P3,C09,Positive,0.4001701308977224,134.14148157203724,0.4942574855270347,6,124.18476831791938,108.05623815051001
Original_Centered,C09_P3,C09,Negative,0.39996267155394505,137.25851842796277,0.5057425144729651,6,121.06503999455501,106.87886110141095
Original_Centered,C10_P1,C10,Positive,0.43772431378911036,144.24525731348479,0.5314858412434958,4,141.15889374009313,118.45644544073548
Original_Centered,C10_P1,C10,Negative,0.4376619694843509,127.15474268651522,0.4685141587565041,4,120.83842856750104,118.31480259251252
Original_Centered,C10_P3,C10,Positive,0.4077531765530097,136.3979299465694,0.5025715915496293,51,22.791975820292933,29.074377667473737
Original_Centered,C10_P3,C10,Negative,0.4065595567846203,135.0020700534306,0.4974284084503706,52,25.97291295258003,26.789330550798308
Original_Centered,C11_P1,C11,Positive,0.402404826579266,139.11961815799347,0.512599919520978,41,24.27832886349104,24.92286746715964
Original_Centered,C11_P1,C11,Negative,0.40163810010617756,132.28038184200653,0.4874000804790218,42,25.357466165227088,43.92994993334772
Original_Centered,C11_P3,C11,Positive,0.413701495860469,147.4709982214701,0.5433714009634122,25,42.57347291605919,35.61388117588689
Original_Centered,C11_P3,C11,Negative,0.4141075998087586,123.92900177852991,0.45662859903658765,24,83.08372694943208,92.86642841056056
Original_Centered,C12_P1,C12,Positive,0.40438068392181203,149.04913047668063,0.5491861845124562,38,72.56366613666157,78.82583070378496
Original_Centered,C12_P1,C12,Negative,0.40386412505501224,122.35086952331937,0.4508138154875437,38,77.92287440295382,98.82674010750321
Original_Centered,C12_P3,C12,Positive,0.40918644620324285,139.95345565979673,0.5156722758282856,65,31.456601124364653,29.45003580806903
Original_Centered,C12_P3,C12,Negative,0.4091768513306878,131.4465443402033,0.4843277241717144,65,24.385694211905445,33.78644371955276
Original_Centered,C13_P1,C13,Positive,0.39377226036684865,143.12401572167818,0.5273545162921082,68,26.201018971362316,30.119269291055474
Original_Centered,C13_P1,C13,Negative,0.39411220452002804,128.27598427832186,0.47264548370789183,68,40.568086252786216,49.32816392480146
Original_Centered,C13_P3,C13,Positive,0.3664476531025568,126.91195843310216,0.4676195962899858,65,53.79589517896758,83.77067926514806
Original_Centered,C13_P3,C13,Negative,0.36685392199886535,144.48804156689783,0.532380403710014,65,50.364806739047964,62.61672438400394
Original_Centered,C14_P1,C14,Positive,0.3923679124458954,130.7818606005465,0.48187863154217575,70,38.567934735380426,58.63042214670107
Original_Centered,C14_P1,C14,Negative,0.39226324198548196,140.6181393994535,0.5181213684578242,70,25.508164204537024,32.804725414626795
Original_Centered,C14_P3,C14,Positive,0.39394936651486606,142.70792892887778,0.5258214035699255,79,16.347394392293513,14.921931550994465
Original_Centered,C14_P3,C14,Negative,0.3940656969456819,128.69207107112223,0.4741785964300745,78,19.876377985414706,31.78888695665669
Common_Marginal,C01_P1,C01,Positive,0.39863411280815403,135.6,0.49963154016212225,2,75.9,88.92512484864564
Common_Marginal,C01_P1,C01,Negative,0.3993634330986607,135.8,0.5003684598378777,1,135.8,108.38723574297653
Common_Marginal,C01_P3,C01,Positive,0.39920738995700716,135.51939437426134,0.4993345408042053,5,89.18134273283553,89.84416908957795
Common_Marginal,C01_P3,C01,Negative,0.3989859085493309,135.88060562573867,0.5006654591957946,5,62.295832652925334,78.91107973335505
